x,y,sensor10_0,sensor11_0,sensor12_0,sensor20_0,sensor21_0,sensor22_0,sensor30_0,sensor31_0,sensor32_0,sensor40_0,sensor41_0,sensor42_0
18,17.5,-85.39563307,-84.20760629,-69.23168997,-79.66776361,-73.35500839,-76.18923817,-78.46731292,-73.60430523,-70.25134791,-73.0235613,-70.18378243,-76.95767371
18,17,-84.00753301,-83.4904495,-70.70977776,-79.24498945,-74.01671094,-77.09353917,-76.95541434,-74.34348112,-72.14320583,-74.01197367,-71.73347622,-77.27148824
13.5,1.5,-75.62805584,-75.39837141,-72.66220256,-77.01961671,-75.14575325,-74.81962676,-80.39128503,-80.78203965,-78.54177829,-65.63250945,-67.19757843,-64.61868694
13.5,1,-75.8648031,-76.06578405,-71.33743907,-81.93698539,-77.85314406,-78.00701725,-80.54571785,-78.66491753,-73.84358404,-65.34066669,-67.81930931,-63.6424166
8,9,-67.61238532,-69.07711939,-70.85151956,-67.77730117,-74.14966924,-66.48485404,-87.64170507,-70.59721733,-73.17050939,-79.51332719,-71.96338192,-74.463143
8,9.5,-68.26378747,-70.40255014,-70.99385766,-64.77730117,-72.49672161,-66.44628352,-85.78145508,-70.9219015,-73.65206957,-78.04524713,-71.62969475,-76.02416661
0,5,-71.16283146,-69.28199631,-66.24781239,-70.45706067,-79.47249727,-76.43719698,-88.70505932,-80.70366699,-76.34711532,-83.13605397,-76.07790934,-74.71977131
0,5.5,-70.82493346,-69.23502102,-62.4711121,-70.69700851,-76.75200367,-75.6840102,-87.99276056,-79.80580667,-76.57936803,-83.55548283,-77.07097362,-74.66424823
19,18,-86.75554226,-85.61682992,-68.53909186,-80.57361135,-72.34855741,-77.41629464,-79.78491111,-75.65196579,-77.63567905,-75.62199023,-75.06776647,-77.58170554
8.5,8.5,-67.1921707,-69.02513336,-71.61486712,-72.22899422,-74.82111356,-67.32803847,-83.92881446,-72.03257699,-71.50293132,-79.62943559,-70.81224124,-72.5611083
11,14,-77.25110522,-76.50970897,-77.08531136,-68.47216495,-75.13615514,-71.8836675,-67.90467293,-65.9264831,-69.93564339,-81.51889114,-68.3407763,-73.98093034
11,14.5,-72.73398838,-80.52948154,-79.26157514,-69.60837847,-71.95222069,-68.23106552,-70.09416142,-64.17950191,-72.68820947,-79.30079618,-71.76400117,-81.86728594
8.5,8,-70.88829617,-69.4137459,-71.38116958,-70.28852025,-75.83469956,-69.67875107,-86.96975806,-73.13897532,-72.83018642,-76.70391912,-70.39148368,-72.03591293
19.5,17,-79.70671838,-80.97166561,-75.69187109,-74.93062383,-74.44392076,-78.49895648,-73.78814679,-73.36060916,-74.72815465,-77.24164001,-73.33215798,-80.36232321
19.5,17.5,-82.98301294,-84.00086904,-68.57902214,-83.36825693,-71.71767665,-78.98678573,-77.99726374,-79.70671,-78.5815959,-73.73222154,-74.01493139,-75.62347977
11.5,13,-73.77836544,-78.37485137,-75.41866931,-70.85835677,-74.98313126,-69.79154481,-65.50850764,-64.45418481,-70.62709253,-80.08119382,-65.64523169,-75.67725091
11.5,13.5,-73.77836544,-78.12150933,-75.49431109,-70.85835677,-74.98313126,-69.79154481,-65.98417071,-64.45418481,-70.62709253,-80.08119382,-65.64523169,-75.67725091
20.5,18,-77.26552558,-78.91853176,-76.44393813,-67.32004318,-68.98514048,-73.95503677,-70.71740431,-72.60848645,-76.20114469,-74.67775523,-68.64767125,-84.37302507
12.5,14,-75.35123221,-81.50657286,-77.5098608,-73.01762856,-73.90186178,-74.36370018,-61.72198961,-63.57561497,-67.56647614,-77.66247379,-67.67820047,-80.80894531
12.5,14.5,-76.40480785,-81.26407905,-78.21419542,-72.41929816,-73.62114404,-75.38698692,-61.9074392,-64.43270569,-67.23551238,-77.47087328,-68.99042026,-80.55312909
4.5,10.5,-65.26791125,-72.67448605,-70.97751778,-70.25392421,-66.29534618,-71.79435766,-87.51732335,-77.24867932,-83.71053022,-79.68506682,-72.85424796,-79.36175429
4.5,10,-66.02858721,-69.0162287,-69.5752186,-65.80531325,-69.78796122,-73.23569978,-85.60283127,-80.08601902,-83.05129102,-81.07598197,-71.37883715,-77.71009882
3,15,-73.32774869,-74.47267454,-78.61909709,-81.4975761,-71.93609588,-62.11924342,-84.36272623,-74.71476106,-75.25713936,-84.24008758,-75.1138912,-80.94864586
3,15.5,-75.07438783,-72.96022574,-78.2841954,-82.12649402,-74.84548573,-63.4191322,-84.51076555,-75.48967632,-75.60249329,-84.56201398,-72.76292467,-80.26486278
1.5,4,-69.86509983,-66.76673701,-66.90171221,-72.94568575,-78.12988525,-78.69573021,-86.45230367,-81.49696088,-77.80370908,-78.10702362,-72.97096567,-75.33252102
1.5,4.5,-69.86509983,-66.76673701,-66.90171221,-72.94568575,-78.12988525,-78.69573021,-86.45230367,-81.49696088,-77.80370908,-78.10702362,-72.97096567,-75.33252102
0.5,17.5,-75.5036327,-72.02606735,-73.96567693,-79.31147078,-69.70129714,-72.82965975,-76.80467078,-82.41612755,-81.40617253,-86.06633126,-73.19662834,-78.03030422
0.5,17,-74.90257149,-71.91508776,-74.29692759,-78.43285463,-68.37471052,-72.84689107,-77.49830417,-82.13283043,-81.85871395,-85.48632695,-74.95327261,-77.3363499
14,1,-76.22693727,-75.65502435,-71.84912941,-82.27808237,-77.85286911,-77.97614746,-81.04261757,-79.20030964,-73.81772298,-66.68841632,-67.10651849,-64.31181152
14,1.5,-76.37365687,-75.43398461,-72.76979592,-77.01845223,-75.31868273,-75.39369488,-79.72540535,-80.38772188,-78.21075539,-67.29535787,-66.96670336,-65.45920728
15,2,-78.84170999,-72.97225588,-74.01103709,-83.09327079,-77.09531401,-77.61693526,-82.5683908,-81.58109881,-75.22667947,-69.84480444,-63.74262476,-66.67863151
15,2.5,-78.70441415,-72.98232957,-74.01103709,-82.81269971,-77.09531401,-77.61693526,-82.56672498,-81.58109881,-75.56953923,-69.70776727,-63.91926039,-66.67554954
18,7,-81.99882353,-80.77833219,-80.41734377,-78.74068643,-77.73642348,-79.7102675,-77.25303585,-77.0456789,-72.05858086,-71.80278963,-47.5202407,-72.2463214
18,7.5,-80.32836433,-80.08872884,-79.48481033,-79.61429841,-76.77070905,-79.71244162,-76.6030648,-75.66885995,-71.81749859,-71.45826616,-52.07710574,-72.55643931
21,18,-76.1031529,-80.08916464,-80.82626968,-77.12964054,-79.90699253,-85.17966471,-73.98858043,-71.99480487,-76.18969639,-85.70665884,-79.99046105,-79.91898595
11,4,-72.6579759,-72.99395181,-72.43516102,-73.6374183,-76.28120637,-76.29525172,-82.88552551,-78.95920512,-72.52525999,-64.44715946,-65.44227,-71.38822621
11,4.5,-72.6579759,-72.99395181,-72.4359932,-73.35836843,-76.29014242,-76.26047639,-82.88552551,-78.95920512,-72.52525999,-64.64968907,-65.44281172,-71.41328129
19.5,7,-85.39998177,-81.45994072,-80.67089958,-76.407851,-79.51360022,-80.58697649,-80.61582243,-81.83520918,-76.97590804,-75.30826195,-58.93508287,-73.36431109
19.5,7.5,-81.90907672,-79.15078973,-78.86585249,-78.18371311,-77.72801349,-80.48329893,-78.58526265,-78.27843179,-75.8601107,-74.67559201,-66.93623227,-73.67696432
11.5,3,-73.49610646,-74.20540803,-72.40288316,-78.65408976,-79.17618214,-75.68484145,-79.71591966,-76.93798112,-77.13850033,-61.38405322,-64.48650686,-67.69963261
11.5,3.5,-73.86516024,-73.66574433,-72.81959913,-74.59505355,-76.13551922,-74.55180306,-82.42564257,-79.98977044,-75.35874159,-64.75269999,-66.53935058,-68.29531046
10,8,-71.21533244,-71.02030704,-72.59387121,-74.7704102,-76.19688799,-72.49705606,-75.72464813,-75.79412487,-69.59413538,-74.55783887,-67.23940373,-70.04715196
10,8.5,-69.15388317,-70.68780627,-72.60547334,-75.92443159,-75.33333552,-71.26544267,-74.29495256,-75.15795351,-68.63387229,-76.21702813,-67.23510305,-70.38761391
20.5,8,-80.47906279,-80.39093785,-76.73612033,-80.76377499,-77.61384917,-79.52045787,-78.54140616,-81.17045795,-76.8107006,-77.86028557,-71.6710183,-80.01758502
20.5,8.5,-78.19941644,-80.08189533,-75.40412402,-82.191124,-76.33870913,-78.94881589,-77.53216788,-79.72062517,-75.74516707,-77.52738516,-72.67193911,-81.81224312
12.5,4,-71.52019089,-73.87933907,-71.45044203,-77.44976565,-74.32386377,-77.37612214,-82.53143799,-79.56275961,-73.92207113,-58.03273194,-64.6193774,-68.5514875
12.5,4.5,-72.18612396,-75.54544491,-72.5555089,-78.27004014,-74.31636554,-79.36030119,-80.73582941,-78.22592998,-72.49674419,-58.99170516,-65.53882465,-71.77582358
4.5,0,-77.9892218,-64.9157489,-73.09219717,-78.5843509,-77.36538113,-80.00096122,-88.68256009,-78.1148197,-80.1106914,-76.79941425,-70.53044508,-83.44631751
4.5,0.5,-78.0109037,-64.9157489,-73.09219717,-78.43369396,-77.60684833,-80.00096122,-88.45286428,-78.1148197,-80.1106914,-76.76315366,-70.50991598,-83.504382
3,5,-67.77207148,-65.35805323,-61.68752468,-71.38325852,-72.83992274,-77.55548144,-83.16470198,-79.96351212,-77.0532362,-75.77241687,-74.80175878,-76.20821918
3,5.5,-67.68418172,-65.36270439,-60.90535957,-69.66464846,-72.66906569,-76.83402371,-82.68227228,-78.96351212,-76.05435696,-76.58015728,-76.53176427,-77.01331178
14,14,-75.9378604,-81.5150223,-76.58356054,-73.74966308,-76.11256831,-72.40831746,-65.50511908,-64.04287474,-66.94603,-76.30069391,-66.67648614,-81.03309746
14,14.5,-77.65962441,-77.50599849,-80.81297602,-72.04226032,-76.16694056,-79.19017763,-63.29758087,-68.78723165,-64.49408588,-75.016472,-70.30650776,-79.01408798
7,11.5,-69.43778366,-74.97555826,-71.4805536,-60.24914412,-69.51291898,-65.5393567,-79.24056048,-72.44792857,-75.07445307,-76.8552026,-72.98010728,-77.928708
7,11,-67.74314192,-73.0215155,-71.8911809,-58.1781549,-68.30874279,-67.31228337,-82.66519511,-73.3635211,-77.83813131,-76.10223461,-71.81448249,-80.26525973
15.5,14,-76.90048176,-75.58249381,-79.88281948,-73.71821339,-80.22004234,-77.79392553,-67.52426757,-70.92592229,-62.85333221,-72.19051733,-68.00608501,-78.59874723
15.5,14.5,-79.28206899,-77.15277359,-79.30941987,-72.60996688,-80.29894751,-77.07778805,-69.16418253,-69.06542253,-63.33950951,-73.51308736,-69.30461111,-79.59965926
7.5,10,-68.38027557,-71.21646808,-71.31718193,-61.63607403,-71.51326206,-66.47436828,-83.83045593,-70.42941106,-73.65331344,-76.92164398,-71.49175546,-77.4399253
7.5,10.5,-69.03167772,-72.45797592,-71.45952004,-58.34657132,-70.29775637,-66.43579776,-81.97164437,-70.75409522,-74.2312553,-75.50914121,-71.15806828,-78.928708
6,15,-75.79413149,-76.33884149,-78.47166459,-68.78020744,-69.1433957,-63.76911495,-75.04181975,-75.22765432,-74.16844903,-78.52420441,-70.56860444,-80.45409091
6,15.5,-76.00550934,-76.00358028,-77.76938739,-68.90429996,-69.1433957,-63.79705599,-75.28395999,-75.74774776,-74.49939271,-78.78517671,-70.56860444,-80.70452176
8.5,11,-69.79875254,-74.80271945,-71.49734151,-59.51767179,-70.06565623,-66.45527046,-77.62746234,-70.94189229,-73.23073166,-74.48286804,-69.82043239,-76.94516664
8.5,11.5,-71.07398019,-74.00158405,-73.0263836,-57.87220721,-70.70958276,-66.89338399,-77.43966115,-69.08315038,-73.70018186,-76.5788406,-69.69174988,-78.16061185
0.5,7,-70.8178634,-70.59255144,-57.14403339,-71.31401725,-69.64918546,-73.63737738,-86.69248826,-78.58322495,-77.02734867,-83.76990241,-76.58462799,-75.01207133
0.5,7.5,-70.81698774,-72.26166187,-59.12317963,-71.7278689,-69.46990875,-73.32928373,-86.62155482,-78.57549431,-76.91684288,-83.07254017,-75.37291621,-75.67072861
11.5,16,-77.1050735,-81.875554,-79.32435549,-67.92213178,-73.45753005,-71.75554833,-74.3061153,-62.83675521,-74.69119116,-80.31360222,-73.97807781,-82.01511386
11.5,16.5,-80.20202363,-80.78635279,-80.243763,-70.73209089,-76.7381408,-73.52908404,-73.00898981,-66.3066517,-73.82472309,-80.68372844,-73.33122081,-81.56898023
2,17,-79.11780663,-73.65728615,-74.85259597,-79.08713635,-71.61767068,-71.67472213,-77.87043505,-79.26612992,-77.94388134,-85.19738073,-70.71703847,-78.91409037
2,17.5,-79.39267605,-73.65728615,-74.85259597,-79.16561545,-71.61767068,-71.67472213,-77.87043505,-78.97945639,-77.8852391,-85.16666678,-70.69239772,-78.93743417
3,18,-83.44121399,-74.98085877,-73.91539135,-77.55830796,-71.91027628,-74.1730095,-75.97600136,-78.19194114,-77.34582586,-85.51029713,-68.39248236,-78.77072208
3.5,17.5,-77.42793988,-76.64880462,-75.84461384,-78.31642566,-72.92734391,-66.85316214,-77.67186166,-77.85085529,-76.69280253,-82.76073295,-71.5564257,-78.91474356
3.5,17,-77.20764284,-76.64880462,-75.84461384,-78.29716155,-72.92734391,-66.13391829,-77.69142054,-77.85085529,-76.69280253,-82.52877017,-71.56417448,-78.91474356
21,8,-80.92923401,-80.39176022,-77.33884509,-80.19083186,-77.64588064,-79.6420932,-79.14608061,-81.22661913,-76.99334091,-77.60893735,-71.3307709,-79.4810259
21,8.5,-79.37518564,-80.0827177,-76.33306132,-81.76377499,-76.62081084,-79.04897425,-78.13684233,-80.22689823,-76.12216108,-77.58062554,-72.66605392,-81.29176087
14,4,-73.52004426,-75.23620333,-74.7637747,-78.81080217,-77.25728012,-78.32283863,-80.12091848,-78.10409013,-72.75791673,-64.09727871,-67.78975008,-70.09236174
14,4.5,-73.10390032,-74.95877783,-74.65571519,-78.81080217,-77.07654291,-78.32584073,-80.30238367,-78.10409013,-72.75791673,-63.33662595,-67.69040963,-70.09479581
14.5,3,-76.25425533,-72.95775713,-72.95201817,-81.85753378,-76.131427,-78.9168967,-82.90240577,-80.70524947,-73.26107243,-66.23818088,-62.98508488,-68.72272517
14.5,3.5,-75.70236343,-75.8229156,-77.11634655,-78.99635917,-79.07739668,-76.00649916,-78.71095185,-78.968636,-75.65263179,-68.90821343,-70.91216934,-66.96854303
17,15,-81.39167619,-79.88882485,-76.89560068,-74.87161633,-77.98506797,-77.96063689,-72.38428854,-72.07266458,-71.71618753,-75.26366573,-73.69808679,-79.7566464
17,15.5,-81.39167619,-79.88882485,-76.89560068,-75.20075055,-77.98506797,-78.18348491,-72.38428854,-72.28644117,-71.73234602,-75.26366573,-73.69808679,-79.7566464
9,11,-69.95294908,-75.76941314,-71.49611452,-62.87949085,-70.58540591,-66.25552251,-75.63702691,-71.19912158,-72.36033526,-74.52291428,-69.0371008,-74.30082928
9,11.5,-71.7463124,-74.10052398,-73.34741346,-59.67898847,-71.50770685,-67.1401197,-76.26447726,-68.7480773,-73.37997693,-77.82827145,-69.3486924,-77.0271072
15.5,4,-77.36040462,-75.9468498,-78.7907555,-80.51946843,-80.7896556,-77.98440706,-77.90094867,-78.40487558,-73.3652158,-73.57929452,-71.35171633,-69.36524222
15.5,4.5,-76.69700971,-76.8908335,-80.17742969,-79.85442169,-80.85303414,-77.98440706,-76.28175396,-76.96162162,-73.00082282,-73.25150559,-72.47733643,-70.14024057
7.5,0,-74.99011768,-67.78873626,-75.50460097,-73.01835389,-78.74566851,-74.0172266,-83.6416548,-67.1371603,-80.43739425,-71.00448883,-68.69539881,-71.2526056
7.5,0.5,-74.25365189,-64.44764781,-73.72264791,-74.16366898,-79.99066918,-74.31488917,-84.66782784,-70.9226,-78.01628987,-71.54021787,-69.63997764,-69.60138356
6,5,-64.4479915,-67.24996811,-72.81253549,-75.246153,-76.37540262,-77.00314888,-81.06247811,-75.73584634,-77.6353964,-74.93830258,-69.06558613,-74.90316994
6,5.5,-63.04596767,-67.94293278,-69.93627773,-68.25871867,-78.66151105,-75.70958346,-85.16571743,-77.76256263,-76.01027378,-73.82829313,-70.75343118,-74.77527491
18.5,9,-74.51383399,-77.76358463,-77.33927675,-81.7039262,-75.98322249,-79.59765637,-74.61605291,-70.99171155,-70.79306267,-71.26760235,-65.01298811,-73.54769737
18.5,9.5,-74.0225161,-78.10424122,-77.92397866,-81.10661816,-77.03702451,-79.54603104,-75.26761678,-71.66470907,-71.19860642,-72.18028377,-65.37234586,-73.68793519
10,11,-70.58315026,-77.77705567,-71.71636325,-69.29117512,-72.0062534,-66.82627175,-72.49642346,-71.77226914,-70.4593738,-74.82899012,-66.87522509,-69.15770483
10,11.5,-72.43325672,-77.40071477,-72.7914279,-70.62660826,-73.41444606,-67.82609679,-70.61811056,-69.87087762,-70.52854289,-76.9978862,-66.54835921,-68.81843116
2,7,-67.24166589,-68.03392613,-60.35354536,-66.48772002,-71.04639915,-74.5372266,-82.53827072,-77.21164785,-74.21928181,-78.85370725,-79.1815952,-77.87479452
2,7.5,-68.23707512,-69.36142271,-60.87124757,-67.16673009,-70.69568073,-74.06391998,-82.80727063,-77.46382502,-74.66637235,-79.62034707,-78.13262623,-77.54136986
10.5,10,-68.63714508,-74.77147801,-72.18426899,-74.31139113,-73.26194591,-68.07649939,-71.49642346,-72.65193674,-69.19683072,-76.20494323,-66.65172233,-69.04259565
10.5,10.5,-69.63685311,-76.73799734,-71.87077311,-72.9410344,-73.0062534,-67.49193769,-71.49642346,-72.20494767,-69.64301775,-75.53096021,-66.53421951,-68.4979816
3.5,7,-65.52823696,-65.5710784,-62.01242704,-63.71172273,-71.75078073,-73.27276505,-81.51189385,-74.29829786,-74.38231241,-78.87989267,-78.44618883,-76.21078575
3.5,7.5,-65.07692331,-66.02446653,-62.60480968,-63.37612292,-71.73042195,-73.17606151,-81.26065066,-73.79009488,-74.48597122,-79.09153469,-78.00988548,-76.01434739
14.5,16,-79.31922903,-82.45448603,-77.4073826,-71.27191261,-74.69051412,-80.3601969,-72.11284921,-67.30004063,-70.35465194,-82.4278192,-75.99352725,-81.6882932
14.5,16.5,-79.61256742,-83.85530277,-75.74389317,-70.76716375,-76.31495633,-79.45311424,-76.61484937,-65.20937709,-74.21993692,-83.40975991,-75.99754894,-82.10570755
5,17,-72.20406505,-78.80134127,-76.95351479,-75.74377671,-71.93871943,-59.85819193,-76.63683245,-78.64933823,-76.42865029,-79.07781877,-73.64053048,-79.53151
5,17.5,-70.07703302,-80.18154594,-77.00708314,-78.02686131,-73.57821136,-57.7314352,-75.213067,-79.18918919,-76.60164656,-78.36688949,-75.3598987,-77.86998416
6,18,-70.50928755,-82.14364947,-76.2134837,-75.08643675,-71.99140955,-57.8524978,-73.4692914,-80.02151855,-77.1037814,-76.69723807,-75.29544387,-78.20370175
6.5,17,-72.75781407,-81.32580907,-77.26794331,-75.94174394,-70.93853615,-60.60886536,-76.83268686,-78.20154037,-77.12640149,-78.40877022,-74.18078166,-79.03042654
6.5,17.5,-73.28866596,-82.13597072,-77.40366053,-75.67473314,-70.28909651,-60.91268295,-76.73916706,-78.05624088,-77.41952751,-78.1996016,-74.16834647,-79.14226512
17,5,-78.28406599,-78.23012286,-77.0017037,-81.09569587,-78.53898201,-77.94352687,-77.6935531,-77.60721432,-73.67435244,-70.45461155,-64.30644905,-69.22180033
17,5.5,-80.55630908,-79.67034395,-80.60002477,-78.90227452,-79.82701483,-78.35810973,-77.44576601,-78.33179992,-73.22822168,-72.32029812,-57.07103064,-70.9129752
9,1,-75.39250402,-70.11167545,-74.27662377,-76.24163818,-80.71234815,-73.98302155,-81.21571986,-72.02427382,-80.26027081,-68.06452166,-67.18537306,-68.40647044
9,1.5,-75.4416992,-63.75821155,-72.67574674,-78.82921125,-84.2855393,-75.40096545,-85.52128199,-79.26017153,-75.74261254,-69.74978819,-68.9374063,-65.97769581
20,15,-76.98269705,-80.10738214,-79.31412287,-77.08021425,-78.71511475,-83.48579519,-73.21060634,-73.61155942,-76.75902942,-82.6446467,-78.4693385,-79.93183463
20,15.5,-76.75496696,-80.20647928,-79.74015738,-77.05088315,-78.79530107,-83.7682393,-73.39567975,-73.57488256,-76.37945147,-82.87293688,-78.8193008,-80.25259636
10.5,0,-80.47781593,-70.50926903,-76.31504178,-80.14648843,-87.05158629,-76.87014252,-83.19604246,-80.79133815,-79.14662417,-67.05789066,-64.81262446,-65.77763069
10.5,0.5,-79.47924573,-71.77608932,-75.31504178,-80.47444849,-85.94230096,-76.13366645,-81.85292431,-79.65904596,-79.5381049,-66.11854482,-64.75928033,-66.16042816
13,12.5,-71.18064072,-79.5360804,-75.65881844,-75.52466964,-74.32540334,-73.53921377,-63.54193021,-66.07392572,-69.70941876,-75.27204067,-62.99238811,-80.7506968
13,12,-71.51193621,-77.94315582,-76.1900804,-75.89420591,-74.99699207,-76.38306507,-66.09793937,-69.06785667,-70.14151884,-74.02210349,-62.49128076,-80.39683378
16,17,-79.61107938,-83.50965611,-74.36568118,-73.61279789,-75.40465619,-80.53422774,-77.95179881,-70.04951222,-73.45765027,-82.66507586,-77.18443606,-81.08859465
16,17.5,-77.82438925,-84.96124201,-72.84104218,-72.29914924,-76.76257639,-82.11495092,-83.89925759,-69.32389518,-76.28488616,-84.94466221,-80.33929744,-82.8678183
14.5,6,-74.43892584,-77.79059582,-76.90384953,-79.09158464,-76.65145119,-79.84728489,-76.7054233,-75.47516516,-68.64579529,-63.51839505,-63.50722292,-74.12732069
14.5,6.5,-76.73627055,-80.49498364,-79.94135665,-80.28954226,-76.77883424,-81.05663909,-73.51688153,-74.52848708,-69.08717306,-67.3231112,-67.19065736,-76.89906414
5,7,-61.76614844,-68.83725014,-67.73989034,-62.27055241,-74.93463768,-74.55062602,-87.23911808,-76.6358581,-76.15243215,-73.471118,-73.69009731,-76.05116665
5,7.5,-62.08575113,-68.1752893,-68.0242351,-62.26132547,-74.00352591,-73.26428133,-85.4892885,-74.64944254,-76.02604278,-75.46937816,-73.21690274,-75.37789506
9,14,-71.21757457,-77.63238731,-78.87332129,-63.33877831,-70.32802209,-68.23774726,-74.07946154,-64.96313012,-73.01684052,-81.16060609,-76.4981072,-81.16878035
9,14.5,-74.01456178,-77.35943878,-78.46491132,-67.06778123,-72.41369163,-64.77876294,-72.21139774,-68.53778713,-72.19696582,-79.03954646,-69.91193983,-73.04637621
